delayed,purchase_hour,purchase_weekday,purchase_month,approval_lag_hours,price,freight_value,num_items,customer_state,seller_state
0,8,4,6,0.27,25.5,15.1,1,RJ,SP
0,12,6,4,0.3797222222222222,114.99,52.93,1,MG,MA
0,20,6,8,0.2061111111111111,56.54,7.66,1,SP,SP
0,12,2,8,0.1908333333333333,489.0,25.35,1,BA,SP
0,16,5,11,0.2322222222222222,166.99,33.62,1,PE,SP
0,16,6,1,0.2141666666666666,44.99,14.1,1,MG,SP
0,0,2,9,0.4913888888888889,15.9,15.1,1,RS,SP
0,11,2,11,48.785555555555554,59.9,16.18,1,PR,SC
0,17,5,7,0.2177777777777777,89.0,7.88,1,SP,SP
0,23,3,1,0.1566666666666666,107.0,12.25,1,SP,SP
0,18,1,2,0.7597222222222222,40.98,15.56,2,SP,SP
0,12,6,3,13.598611111111111,69.0,14.65,1,RJ,SP
0,18,4,2,158.1977777777778,31.9,16.79,1,ES,MG
0,20,6,3,0.1563888888888888,57.9,37.1,1,PE,SP
0,1,1,7,24.064444444444444,189.99,9.52,1,SP,SP
0,11,2,3,15.739166666666666,67.99,24.61,1,ES,SP
0,7,3,5,0.2291666666666666,57.17,9.39,1,SP,SP
0,21,6,3,0.2691666666666666,110.0,18.35,1,DF,SP
0,17,6,10,17.5525,38.9,7.78,1,SP,SP
0,7,5,11,0.1994444444444444,44.99,16.11,1,RJ,SP
0,20,4,6,0.1816666666666666,90.0,34.43,1,MA,SP
0,16,2,8,0.1922222222222222,110.0,14.52,1,RS,SP
0,19,5,4,0.2327777777777777,12.9,15.23,1,RJ,SP
0,13,3,11,0.24,58.99,11.73,1,SP,SP
1,16,2,4,0.435,50.0,22.85,1,RN,SP
0,22,3,5,27.635277777777777,36.49,18.23,1,MG,SP
0,13,4,3,0.3425,190.0,36.56,1,PE,SP
0,17,0,2,0.155,95.15,12.8,1,SP,PR
0,1,0,4,40.80388888888889,79.99,8.32,1,SP,SP
0,18,2,4,0.1105555555555555,149.0,22.75,1,BA,SP
0,13,2,8,14.018611111111111,149.9,29.45,1,MG,SC
0,18,2,1,0.245,41.97,42.3,3,MS,SP
